Tilda UID;Brand;SKU;Mark;Category;Title;Price;Quantity;External ID;Parent UID;Weight;Length;Width;Height;Unit;Portion;Url
5,17697E+11;;OBr-Z-100х140х2,0;;"Опора бруса;Все категории";"Опора бруса ""Закрытая"" 100х140х2,0";108.58;105;60b3d2ca-8532-11ee-95a7-e43d1a17f1f9;;386;0;0;0;PCE;1;http://droxmar.ru/opora/tproduct/517697017622-opora-brusa-zakritaya-100h140h20
9,49651E+11;;LP-0,8x25-25;;"Лента монтажная;Все категории";Лента-пластина крепежная прямая 0,8х25 25м;1003.76;4;bdee702a-7a40-11ee-8885-e43d1a180a17;;3518;0;0;0;PCE;1;http://droxmar.ru/lenta/tproduct/949651295342-lenta-plastina-krepezhnaya-pryamaya-08h2
5,69867E+11;;GS-2,5х60;;Гвоздь;Гвоздь 2,5х60;121.08;24;b1a561d5-9b41-11ee-8886-e43d1a180a17;;0;0;0;0;;0;http://droxmar.ru/tproduct/569867146582-gvozd-25h60
7,82002E+11;;GP-129х100х1;;"Пластина;Все категории";Гвоздевая пластина 129х100х1 мм;33.71;265;1f0789e3-8a06-11ee-95a7-e43d1a17f1f9;;0;0;0;0;PCE;1;http://droxmar.ru/plastina/tproduct/782002214352-gvozdevaya-plastina-129h100h1-mm
6,68215E+11;;LP-0,7x25-25;;"Лента монтажная;Все категории";Лента-пластина крепежная прямая 0,7х25 25м;861.98;5;141c6970-7a40-11ee-8885-e43d1a180a17;;3064;0;0;0;PCE;1;http://droxmar.ru/lenta/tproduct/668214664802-lenta-plastina-krepezhnaya-pryamaya-07h2
8,02815E+11;;S-OS-PS-OS-4,2x16;;"Саморез;Все категории";Саморез с прессшайбой 4,2х16 мм;0.28;18870;126ff21e-8de7-11ee-8885-e43d1a180a17;;0;0;0;0;PCE;1;http://droxmar.ru/samorezi/tproduct/802815266182-samorez-s-pressshaiboi-42h16-mm
4,25799E+11;;KU-S-40х120х2,0;;"Уголок крепёжный;Все категории";Уголок крепежный скользящий 40х120х2,0 мм;37.77;332;1d29e479-a16a-11ee-8886-e43d1a180a17;;0;0;0;0;PCE;1;http://droxmar.ru/ugolki/tproduct/425799319652-ugolok-krepezhnii-skolzyaschii-40h120h20
5,32117E+11;;KU-90х90х40х1,5;;"Уголок крепёжный;Все категории";Уголок крепежный 90х90х40х1,5 мм;18.82;60;32b053cc-87a4-11ee-95a7-e43d1a17f1f9;;0;0;0;0;PCE;1;http://droxmar.ru/ugolki/tproduct/532116957242-ugolok-krepezhnii-90h90h40h15-mm
7,97276E+11;;KU-AS-150х60х90х1,7;;"Уголок крепёжный;Все категории";Уголок крепежный асимметричный 150х60х90х1,7 мм;50.03;147;0ff455ca-885a-11ee-95a7-e43d1a17f1f9;;0;0;0;0;PCE;1;http://droxmar.ru/ugolki/tproduct/797276246422-ugolok-krepezhnii-asimmetrichnii-150h60h
5,46865E+11;;S-OS-KL-OS-3,5x11;;"Саморез;Все категории";"Саморез по металлу 3,5х11 ""КЛОП""";0.39;9000;e7e09bdf-8d1b-11ee-95a7-e43d1a17f1f9;;0;0;0;0;PCE;1;http://droxmar.ru/samorezi/tproduct/546864824282-samorez-po-metallu-35h11-klop
